Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2016-0785-D,11/30/2016 12:00:00 AM,12/1/2016 12:00:00 AM,,DI-2,Initial,Pending,,Crime Lab Division,,,,,,,37046,Black,Female,33,4,,,
Rank Initiated,2016-0786-R,11/26/2016 12:00:00 AM,12/2/2016 12:00:00 AM,2/15/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,School Resource Officers,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37048,Black,Male,49,12,,,
Rank Initiated,2016-0786-R,11/26/2016 12:00:00 AM,12/2/2016 12:00:00 AM,2/15/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,School Resource Officers,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37381,White,Male,37,13,,,
Public Initiated,2016-0769-P,8/15/2016 12:00:00 AM,12/2/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,Staff,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,36999,Black,Male,54,0,Male,White,82
Public Initiated,2016-0779-P,11/27/2016 12:00:00 AM,12/2/2016 12:00:00 AM,3/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37000,White,Male,27,5,Male,White,39
Public Initiated,2016-0779-P,11/27/2016 12:00:00 AM,12/2/2016 12:00:00 AM,3/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37002,White,Male,,5,Male,White,39
Public Initiated,2016-0787-N,12/1/2016 12:00:00 AM,12/2/2016 12:00:00 AM,12/21/2016 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37051,,,,,Male,,
Public Initiated,2016-0789-P,12/2/2016 12:00:00 AM,12/2/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Off Duty,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,37289,Asian/Pacifi,Male,41,4,Female,Black,26
Public Initiated,2016-0782-P,,12/2/2016 12:00:00 AM,4/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,Office of the Superintendent,Office of the Superintendant,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37013,White,Male,,,Female,Black,
Rank Initiated,2016-0802-R,12/4/2016 12:00:00 AM,12/4/2016 12:00:00 AM,11/30/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37189,White,Male,,5,,,
Public Initiated,2016-0791-P,12/5/2016 12:00:00 AM,12/5/2016 12:00:00 AM,5/11/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37132,,,,,Male,White,46
Public Initiated,2016-0791-P,12/5/2016 12:00:00 AM,12/5/2016 12:00:00 AM,5/11/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37134,,,,,Male,White,46
Rank Initiated,2016-0790-R,12/4/2016 12:00:00 AM,12/5/2016 12:00:00 AM,5/10/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,37068,White,Male,,5,Female,Hispanic,
Rank Initiated,2016-0790-R,12/4/2016 12:00:00 AM,12/5/2016 12:00:00 AM,5/10/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,5th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,37109,Black,Male,31,10,Female,Hispanic,
Public Initiated,2016-0796-P,7/6/2016 12:00:00 AM,12/6/2016 12:00:00 AM,5/17/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37186,White,Male,52,9,Female,Black,40
Public Initiated,2016-0796-P,7/6/2016 12:00:00 AM,12/6/2016 12:00:00 AM,5/17/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37204,White,Male,45,22,Female,Black,40
Public Initiated,2016-0797-P,11/15/2016 12:00:00 AM,12/6/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,Unknown Assignment,Paid Detail,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37243,Black,Male,41,20,Female,White,27
Public Initiated,2016-0797-P,11/15/2016 12:00:00 AM,12/6/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,Unknown Assignment,Paid Detail,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37245,White,Male,46,25,Female,White,27
Public Initiated,2016-0797-P,11/15/2016 12:00:00 AM,12/6/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,Unknown Assignment,Paid Detail,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37388,Hispanic,Female,22,4,Female,White,27
Public Initiated,2016-0801-N,12/4/2016 12:00:00 AM,12/7/2016 12:00:00 AM,1/3/2017 12:00:00 AM,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,37263,,,,,Female,Black,32
Public Initiated,2016-0788-P,11/12/2016 12:00:00 AM,12/7/2016 12:00:00 AM,5/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37098,Black,Male,33,14,Male,White,0
Public Initiated,2016-0788-P,11/12/2016 12:00:00 AM,12/7/2016 12:00:00 AM,5/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,B Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37100,Black,Male,32,15,Male,White,0
Public Initiated,2016-0810-N,12/6/2016 12:00:00 AM,12/8/2016 12:00:00 AM,12/21/2016 12:00:00 AM,NFIM,Completed,NFIM,,Unknown District/Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37144,,,,,,,
Public Initiated,2016-0795-P,12/6/2016 12:00:00 AM,12/8/2016 12:00:00 AM,7/20/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37183,White,Male,43,11,Male,Black,49
Public Initiated,2016-0794-P,10/18/2016 12:00:00 AM,12/8/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,MSB - Management Service Bureau,Records & Identification / Support Services Divisi,Records & I.D.,NCIC Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37212,Black,Female,46,,Female,Hispanic,50
Public Initiated,2016-0808-P,11/29/2016 12:00:00 AM,12/8/2016 12:00:00 AM,4/27/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37355,Black,Male,51,18,Male,Black,
Public Initiated,2016-0808-P,11/29/2016 12:00:00 AM,12/8/2016 12:00:00 AM,4/27/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37357,White,Male,49,29,Male,Black,
Public Initiated,2016-0813-P,12/9/2016 12:00:00 AM,12/12/2016 12:00:00 AM,5/19/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37241,White,Male,57,4,Male,Black,32
Public Initiated,2016-0813-P,12/9/2016 12:00:00 AM,12/12/2016 12:00:00 AM,5/19/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37239,Black,Male,58,20,Male,Black,32
Public Initiated,2016-0814-P,11/29/2016 12:00:00 AM,12/12/2016 12:00:00 AM,4/12/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 03 - HONESTY AND TRUTHFULNESS,37278,Black,Male,57,10,,,
Rank Initiated,2016-0824-R,12/12/2016 12:00:00 AM,12/14/2016 12:00:00 AM,6/6/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Resigned,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37488,Black,Male,33,13,,,
Rank Initiated,2016-0819-R,12/12/2016 12:00:00 AM,12/14/2016 12:00:00 AM,5/8/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37467,White,Male,41,21,,,
Rank Initiated,2016-0822-R,12/12/2016 12:00:00 AM,12/14/2016 12:00:00 AM,3/12/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37446,Black,Male,28,10,Female,Black,37
Public Initiated,2016-0799-P,12/5/2016 12:00:00 AM,12/14/2016 12:00:00 AM,5/22/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37222,White,Male,31,4,Male,Black,34
Public Initiated,2016-0799-P,12/5/2016 12:00:00 AM,12/14/2016 12:00:00 AM,5/22/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37224,White,Male,32,10,Male,Black,34
Public Initiated,2016-0799-P,12/5/2016 12:00:00 AM,12/14/2016 12:00:00 AM,5/22/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37226,Black,Male,41,20,Male,Black,34
Public Initiated,2016-0812-P,12/11/2016 12:00:00 AM,12/15/2016 12:00:00 AM,1/10/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,DUI 2009-0665-R,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,37391,Black,Male,43,18,Male,Black,31
Public Initiated,2016-0826-N,10/27/2016 12:00:00 AM,12/15/2016 12:00:00 AM,,NFIM,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,Regular Working,Between 11pm-7am,,,37568,White,Male,40,18,Female,Black,31
Public Initiated,2016-0806-P,12/16/2015 12:00:00 AM,12/15/2016 12:00:00 AM,7/9/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37230,Black,Male,50,32,Female,White,
Public Initiated,2016-0792-P,6/12/2016 12:00:00 AM,12/15/2016 12:00:00 AM,2/20/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37228,Black,Male,28,9,Male,Black,61
Rank Initiated,2016-0825-R,10/25/2016 12:00:00 AM,12/15/2016 12:00:00 AM,4/10/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37338,White,Male,28,10,,,
Rank Initiated,2016-0817-R,12/12/2016 12:00:00 AM,12/15/2016 12:00:00 AM,8/31/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Staff,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37315,White,Male,35,17,,,
Rank Initiated,2016-0815-R,12/13/2016 12:00:00 AM,12/15/2016 12:00:00 AM,2/14/2018 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,School Resource Officers,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37233,Black,Male,53,21,,,
Public Initiated,2016-0798-P,12/1/2016 12:00:00 AM,12/16/2016 12:00:00 AM,5/19/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37235,White,Male,57,4,Male,Black,37
Public Initiated,2016-0798-P,12/1/2016 12:00:00 AM,12/16/2016 12:00:00 AM,5/19/2017 12:00:00 AM,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37237,White,Male,39,20,Male,Black,37
Rank Initiated,2016-0809-R,11/27/2016 12:00:00 AM,12/19/2016 12:00:00 AM,5/4/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37274,White,Female,37,15,Male,Hispanic,27
Rank Initiated,2016-0809-R,11/27/2016 12:00:00 AM,12/19/2016 12:00:00 AM,5/4/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37276,White,Male,25,5,Male,Hispanic,27
Rank Initiated,2016-0809-R,11/27/2016 12:00:00 AM,12/19/2016 12:00:00 AM,5/4/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,38601,Asian/Pacifi,Male,33,11,Male,Hispanic,27
Public Initiated,2016-0831-P,11/24/2016 12:00:00 AM,12/19/2016 12:00:00 AM,11/28/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37490,White,Male,55,34,Female,Black,42
Public Initiated,2016-0831-P,11/24/2016 12:00:00 AM,12/19/2016 12:00:00 AM,11/28/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37499,Black,Female,32,10,Female,Black,42
Rank Initiated,2016-0820-R,12/12/2016 12:00:00 AM,12/19/2016 12:00:00 AM,2/27/2018 12:00:00 AM,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37280,Black,Male,49,22,,,
Rank Initiated,2016-0816-R,12/12/2016 12:00:00 AM,12/19/2016 12:00:00 AM,9/24/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37386,Hispanic,Male,51,23,,,
Rank Initiated,2016-0828-D,12/16/2016 12:00:00 AM,12/19/2016 12:00:00 AM,12/19/2016 12:00:00 AM,DI-2,Completed,Other,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Forensic,,,RULE 7: DEPT PROPERTY,PARAGRAPH 03 - CLEANLINESS OF DEPARTMENT EQUIPMENT,37690,White,Male,52,11,,,
Rank Initiated,2016-0835-R,12/15/2016 12:00:00 AM,12/20/2016 12:00:00 AM,11/15/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,,,,37511,White,Male,54,16,,,
Rank Initiated,2016-0811-R,10/25/2016 12:00:00 AM,12/20/2016 12:00:00 AM,1/4/2018 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37346,Asian/Pacifi,Male,33,11,,,
Rank Initiated,2016-0805-D,11/2/2016 12:00:00 AM,12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,DI-2,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37294,Black,Male,37,17,,,
Rank Initiated,2016-0821-R,12/12/2016 12:00:00 AM,12/20/2016 12:00:00 AM,6/6/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad B,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37301,Black,Male,39,15,,,
Public Initiated,2016-0827-P,12/16/2016 12:00:00 AM,12/20/2016 12:00:00 AM,4/11/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,37310,White,Male,40,5,Male,Black,40
Public Initiated,2016-0837-P,12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,1/12/2018 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37383,Black,Male,39,19,Male,White,39
Public Initiated,2016-0803-P,11/28/2016 12:00:00 AM,12/21/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37365,Black,Male,28,4,Female,Black,
Public Initiated,2016-0803-P,11/28/2016 12:00:00 AM,12/21/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37366,Black,Female,50,21,Female,Black,
Public Initiated,2016-0807-P,8/20/2016 12:00:00 AM,12/21/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37358,Black,Female,33,15,,,35
Public Initiated,2016-0807-P,8/20/2016 12:00:00 AM,12/21/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37438,Black,Male,52,30,,,35
Rank Initiated,2016-0829-D,11/27/2016 12:00:00 AM,12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37371,Black,Female,44,15,,,
Rank Initiated,2016-0830-D,11/9/2016 12:00:00 AM,12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Night Watch,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37373,White,Male,42,11,,,
Rank Initiated,2016-0836-R,12/19/2016 12:00:00 AM,12/21/2016 12:00:00 AM,7/5/2017 12:00:00 AM,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37335,Black,Male,48,28,,,
Rank Initiated,2016-0836-R,12/19/2016 12:00:00 AM,12/21/2016 12:00:00 AM,7/5/2017 12:00:00 AM,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,39299,White,Male,54,22,,,
Rank Initiated,2016-0833-R,11/7/2016 12:00:00 AM,12/21/2016 12:00:00 AM,4/10/2019 12:00:00 AM,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Cold Case,,,,,37336,White,Male,48,28,,,
Rank Initiated,2016-0838-R,12/21/2016 12:00:00 AM,12/21/2016 12:00:00 AM,1/4/2018 12:00:00 AM,DI-1,Forwarded,Pending,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad C,Regular Working,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37993,White,Male,34,11,,,
Public Initiated,2016-0834-N,11/25/2016 12:00:00 AM,12/22/2016 12:00:00 AM,1/30/2017 12:00:00 AM,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,,,37674,,,,,Male,Black,37
Public Initiated,2016-0840-P,7/5/2016 12:00:00 AM,12/23/2016 12:00:00 AM,5/2/2017 12:00:00 AM,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,Investigations,Squad 3,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37629,White,Female,49,20,Male,Black,60
Rank Initiated,2016-0818-R,12/12/2016 12:00:00 AM,12/23/2016 12:00:00 AM,9/24/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37394,Black,Male,48,28,,,
Rank Initiated,2016-0823-R,12/12/2016 12:00:00 AM,12/23/2016 12:00:00 AM,3/12/2018 12:00:00 AM,DI-1,Completed,Other,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37396,Black,Male,40,14,,,
Rank Initiated,2016-0841-R,12/24/2016 12:00:00 AM,12/27/2016 12:00:00 AM,12/5/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37628,Black,Male,50,31,,,
Rank Initiated,2016-0841-R,12/24/2016 12:00:00 AM,12/27/2016 12:00:00 AM,12/5/2017 12:00:00 AM,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37712,Black,Male,41,20,,,
Public Initiated,2016-0843-P,12/27/2016 12:00:00 AM,12/27/2016 12:00:00 AM,11/15/2017 12:00:00 AM,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,RULE 3: PROF CONDUCT,PARAGRAPH 03 - Neatness & Attire,37417,White,Female,35,14,,,
Public Initiated,2016-0844-P,12/27/2016 12:00:00 AM,12/27/2016 12:00:00 AM,1/27/2017 12:00:00 AM,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,37678,Hispanic,Male,55,22,Male,Black,48
Rank Initiated,2016-0842-R,12/26/2016 12:00:00 AM,12/28/2016 12:00:00 AM,11/15/2017 12:00:00 AM,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,37470,Hispanic,Male,55,22,,,
Public Initiated,2016-0846-P,12/28/2016 12:00:00 AM,12/29/2016 12:00:00 AM,4/28/2017 12:00:00 AM,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Investigations,Off Duty,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,37724,White,Male,39,14,Female,White,38
