"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"707";"Public Initiated";"2016-0508-P";"5/2/2016 12:00:00 AM";"8/5/2016 12:00:00 AM";"4/17/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"Mounted";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";34981;"American Ind";"Male";67;44;"Female";"Black";NA
"708";"Rank Initiated";"2016-0529-R";"8/5/2016 12:00:00 AM";"8/5/2016 12:00:00 AM";"1/9/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"Admin Unit";"Furlough";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing";34998;"White";"Male";50;28;"";"";NA
"709";"Public Initiated";"2016-0533-P";"5/9/2016 12:00:00 AM";"8/8/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Crimes Platoon 1";"Regular Working";"7:00p-3:35am";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";35052;"Black";"Female";35;17;"Female";"Black";29
"710";"Public Initiated";"2016-0535-P";"8/5/2016 12:00:00 AM";"8/8/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35204;"Black";"Male";23;4;"Female";"Black";34
"711";"Public Initiated";"2016-0535-P";"8/5/2016 12:00:00 AM";"8/8/2016 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";37142;"Black";"Male";50;0;"Female";"Black";34
"712";"Public Initiated";"2016-0537-P";"8/9/2016 12:00:00 AM";"8/9/2016 12:00:00 AM";"12/21/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"2nd District";"C Platoon";"";"";"";"RULE 5: REST ACTIVITIES";"PARAGRAPH 07 - ACTING IMPARTIALLY";35083;"Black";"Male";32;4;"Male";"Black";38
"713";"Public Initiated";"2016-0539-P";"8/9/2016 12:00:00 AM";"8/10/2016 12:00:00 AM";"11/18/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 07 - LEAVING CITY ON DUTY";35077;"";"";NA;NA;"Female";"";NA
"714";"Public Initiated";"2016-0540-P";"6/1/2016 12:00:00 AM";"8/10/2016 12:00:00 AM";"9/12/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35261;"Black";"Male";43;16;"Female";"Black";38
"715";"Rank Initiated";"2016-0534-R";"8/1/2016 12:00:00 AM";"8/11/2016 12:00:00 AM";"10/25/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"2nd District";"Narcotics";"General Assignment";"Regular Working";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35066;"Black";"Male";30;6;"";"";NA
"716";"Rank Initiated";"2016-0516-R";"1/12/2016 12:00:00 AM";"8/11/2016 12:00:00 AM";"11/16/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35069;"Black";"Male";24;5;"";"";NA
"717";"Rank Initiated";"2016-0538-R";"3/31/2016 12:00:00 AM";"8/12/2016 12:00:00 AM";"11/6/2017 12:00:00 AM";"DI-1";"Completed";"Other";"ISB - Investigative Services Bureau";"Special Investigations Division";"Intelligence Section";"";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35076;"Black";"Female";46;28;"";"";NA
"718";"Public Initiated";"2016-0542-P";"8/11/2016 12:00:00 AM";"8/12/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"ISB - Investigations and Support Bureau";"Special Investigations Division";"Building Security";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35113;"Black";"Male";54;31;"Male";"White";50
"719";"Public Initiated";"2016-0520-P";"8/1/2016 12:00:00 AM";"8/12/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35807;"Black";"Male";32;11;"Female";"White";38
"720";"Public Initiated";"2016-0546-N";"8/13/2016 12:00:00 AM";"8/15/2016 12:00:00 AM";"12/21/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";35299;"";"";NA;NA;"Sex-Unk";"Race-Unknown";NA
"721";"Rank Initiated";"2016-0544-R";"8/13/2016 12:00:00 AM";"8/15/2016 12:00:00 AM";"6/13/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"DWI Unit";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35096;"Black";"Male";54;30;"";"";NA
"722";"Rank Initiated";"2016-0543-R";"8/12/2016 12:00:00 AM";"8/15/2016 12:00:00 AM";"12/11/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"Police Recruits";"Training Section";"";"Unknown Working Status";"8:00A-4:00PM";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";35106;"Black";"Female";27;3;"";"";NA
"723";"Rank Initiated";"2016-0545-D";"8/9/2016 12:00:00 AM";"8/16/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"DI-2";"Completed";"Other";"ISB - Investigative Services Bureau";"Crime Lab and Evidence Division";"Crime Lab Section";"Support Staff";"Regular Working";"Between 6:30am-2:30pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";35126;"Black";"Male";30;12;"";"";NA
"724";"Public Initiated";"2016-0548-P";"8/15/2016 12:00:00 AM";"8/16/2016 12:00:00 AM";"4/27/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"C Platoon";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35302;"White";"Male";29;4;"Male";"Black";50
"725";"Public Initiated";"2016-0532-P";"8/6/2016 12:00:00 AM";"8/16/2016 12:00:00 AM";"10/17/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"8th District";"8th District";"";"Re-Assigned";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";35225;"White";"Male";41;10;"Female";"";41
"726";"Public Initiated";"2016-0523-P";"8/11/2016 12:00:00 AM";"8/17/2016 12:00:00 AM";"11/18/2016 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35242;"";"";NA;NA;"Male";"Black";65
"727";"Public Initiated";"2016-0552-N";"6/23/2016 12:00:00 AM";"8/18/2016 12:00:00 AM";"1/9/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"NO VIOLATION OBSERVED";"";35290;"";"";NA;NA;"";"";NA
"728";"Public Initiated";"2016-0550-P";"6/25/2016 12:00:00 AM";"8/18/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"5th District";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35345;"Black";"Male";33;12;"Female";"Black";NA
"729";"Rank Initiated";"2016-0551-R";"8/17/2016 12:00:00 AM";"8/18/2016 12:00:00 AM";"11/20/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"Police Recruits";"Training Section";"";"Off Duty";"Between 8am-4pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35177;"Black";"Female";31;3;"";"";NA
"730";"Public Initiated";"2016-0536-N";"8/5/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"Communications Division";"";"";"Unknown Working Status";"Between 7am-3pm";"NO VIOLATION OBSERVED";"";35178;"";"";NA;NA;"Female";"Black";50
"731";"Public Initiated";"2016-0553-P";"6/4/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"3/6/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 6: OFFICIAL INFO";"PARAGRAPH 02 - FALSE OR INACCURATE REPORTS";35179;"White";"Male";39;4;"Female";"Black";56
"732";"Public Initiated";"2016-0555-P";"8/18/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35237;"White";"Female";54;21;"Female";"Black";NA
"733";"Public Initiated";"2016-0555-P";"8/18/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35238;"Black";"Male";48;20;"Female";"Black";NA
"734";"Public Initiated";"2016-0555-P";"8/18/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35240;"Black";"Female";25;4;"Female";"Black";NA
"735";"Public Initiated";"2016-0555-P";"8/18/2016 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/23/2016 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"4th District";"1st Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35241;"Black";"Female";32;4;"Female";"Black";NA
"736";"Public Initiated";"2016-0541-P";"11/8/2012 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/30/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"PIB - Public Integrity Bureau";"Criminal Investigation Section";"Criminal Investigation Section";"Investigations";"Regular Working";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";35175;"Hispanic";"Male";43;25;"Female";"Black";29
"737";"Public Initiated";"2016-0541-P";"11/8/2012 12:00:00 AM";"8/19/2016 12:00:00 AM";"12/30/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"PIB - Public Integrity Bureau";"Criminal Investigation Section";"Criminal Investigation Section";"Investigations";"Regular Working";"Between 7am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 05 - VERBAL INTIMIDATION";35307;"Black";"Male";45;28;"Female";"Black";29
"738";"Public Initiated";"2016-0560-P";"8/22/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"4/6/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35273;"Black";"Male";32;11;"Female";"Black";40
"739";"Public Initiated";"2016-0560-P";"8/22/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"4/6/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";37638;"White";"Male";32;10;"Female";"Black";40
"740";"Public Initiated";"2016-0560-P";"8/22/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"4/6/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";37640;"Asian/Pacifi";"Male";30;10;"Female";"Black";40
"741";"Public Initiated";"2016-0559-P";"8/22/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"Unknown Assignment";"Off Duty";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35406;"Black";"Male";43;16;"Male";"Black";33
"742";"Public Initiated";"2016-0559-P";"8/22/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"Unknown Assignment";"Off Duty";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35407;"Black";"Male";43;22;"Male";"Black";33
"743";"Public Initiated";"2016-0554-N";"8/16/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"NO VIOLATION OBSERVED";"";35228;"Black";"Female";40;15;"Female";"Black";39
"744";"Rank Initiated";"2016-0547-R";"8/6/2016 12:00:00 AM";"8/22/2016 12:00:00 AM";"3/23/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"ISB - Investigative Services Bureau";"Crime Lab Division";"";"";"";"";"RULE 5: REST ACTIVITIES";"PARAGRAPH 01 - FICTITIOUS ILLNESS OR INJURY";35222;"Black";"Female";33;4;"";"";NA
"745";"Public Initiated";"2016-0562-P";"8/23/2016 12:00:00 AM";"8/24/2016 12:00:00 AM";"12/12/2016 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35300;"Black";"Female";36;12;"Male";"Black";24
"746";"Public Initiated";"2016-0558-P";"8/22/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"9/9/2016 12:00:00 AM";"Mediation";"Completed";"Withdrawn - Mediation";"FOB - Field Operations Bureau";"5th District";"Investigations";"Squad 3";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35289;"Black";"Male";40;14;"Female";"Black";NA
"747";"Public Initiated";"2016-0556-P";"5/20/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35291;"White";"Male";23;4;"Male";"Black";60
"748";"Public Initiated";"2016-0556-P";"5/20/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35293;"Black";"Male";27;5;"Male";"Black";60
"749";"Public Initiated";"2016-0556-P";"5/20/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35295;"Black";"Male";54;21;"Male";"Black";60
"750";"Public Initiated";"2016-0556-P";"5/20/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"7/19/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35296;"";"";NA;NA;"Male";"Black";60
"751";"Rank Initiated";"2016-0557-R";"8/19/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"11/6/2017 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"2nd District";"B Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35297;"Black";"Male";37;15;"";"";NA
"752";"Rank Initiated";"2016-0561-R";"6/20/2016 12:00:00 AM";"8/25/2016 12:00:00 AM";"8/28/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"5th District";"C Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35321;"Black";"Male";53;25;"";"";NA
"753";"Public Initiated";"2016-0564-N";"8/25/2016 12:00:00 AM";"8/26/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"DI-1";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"NO VIOLATION OBSERVED";"";35514;"";"";NA;NA;"Female";"Race-Unknown";52
"754";"Public Initiated";"2016-0563-N";"8/25/2016 12:00:00 AM";"8/26/2016 12:00:00 AM";"12/21/2016 12:00:00 AM";"NFIM";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"Unknown Assignment";"Unknown Working Status";"Unknown Shift Hours";"NO VIOLATION OBSERVED";"";35432;"";"";NA;NA;"Female";"Black";41
"755";"Public Initiated";"2016-0565-P";"8/23/2016 12:00:00 AM";"8/29/2016 12:00:00 AM";"2/15/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35484;"Black";"Female";36;14;"Female";"Black";39
"756";"Public Initiated";"2016-0565-P";"8/23/2016 12:00:00 AM";"8/29/2016 12:00:00 AM";"2/15/2018 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35486;"Black";"Male";40;18;"Female";"Black";39
"757";"Public Initiated";"2016-0569-P";"5/18/2016 12:00:00 AM";"8/29/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"2nd Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35573;"Black";"Male";37;15;"Male";"Black";68
"758";"Public Initiated";"2016-0568-N";"1/25/2015 12:00:00 AM";"8/29/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";35324;"";"";NA;NA;"Male";"White";NA
"759";"Public Initiated";"2016-0566-N";"8/27/2016 12:00:00 AM";"8/29/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"NFIM";"Completed";"NFIM";"";"Unknown District/Division";"";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35418;"";"";NA;NA;"Male";"White";22
"760";"Public Initiated";"2016-0567-P";"7/9/2015 12:00:00 AM";"8/29/2016 12:00:00 AM";"5/17/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"";"Regular Working";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35308;"Black";"Male";47;27;"Female";"Black";52
"761";"Rank Initiated";"2016-0571-R";"8/29/2016 12:00:00 AM";"8/29/2016 12:00:00 AM";"5/5/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"FOB - Field Operations Bureau";"6th District";"B Platoon";"";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing";35361;"Black";"Female";36;12;"";"";NA
"762";"Rank Initiated";"2016-0572-R";"8/29/2016 12:00:00 AM";"8/30/2016 12:00:00 AM";"10/25/2017 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"5th District";"Narcotics";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35354;"White";"Female";28;6;"";"";NA
"763";"Public Initiated";"2016-0573-N";"8/29/2016 12:00:00 AM";"8/30/2016 12:00:00 AM";"12/27/2016 12:00:00 AM";"DI-1";"Completed";"NFIM";"Unknown Bureau";"Unknown District/Division";"Unknown";"";"Unknown Working Status";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35357;"";"";NA;NA;"Male";"Black";63
"764";"Public Initiated";"2016-0574-P";"8/29/2016 12:00:00 AM";"8/30/2016 12:00:00 AM";"1/3/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35539;"Asian/Pacifi";"Male";30;10;"Male";"Black";30
"765";"Public Initiated";"2016-0583-P";"10/18/2013 12:00:00 AM";"8/31/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"6th District";"D.I.U.";"Staff";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35362;"White";"Male";34;17;"Male";"White";68
"766";"Public Initiated";"2016-0583-P";"10/18/2013 12:00:00 AM";"8/31/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"6th District";"D.I.U.";"Staff";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35516;"Black";"Male";52;28;"Male";"White";68
"767";"Public Initiated";"2016-0549-P";"8/9/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35352;"Black";"Female";53;30;"Male";"Black";34
"768";"Public Initiated";"2016-0576-P";"8/15/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"6th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35421;"Black";"Female";30;10;"Female";"Black";39
"769";"Public Initiated";"2016-0576-P";"8/15/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"6th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35422;"Black";"Male";33;15;"Female";"Black";39
"770";"Public Initiated";"2016-0576-P";"8/15/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"5/2/2017 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"6th District";"A Platoon";"Patrol";"Regular Working";"Between 7am-3pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35424;"Black";"Male";44;18;"Female";"Black";39
"771";"Public Initiated";"2016-0582-P";"7/28/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"3/7/2017 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"Day Beats";"Patrol";"Regular Working";"Between 3pm-11pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";35582;"Black";"Female";40;21;"Male";"Black";22
"772";"Public Initiated";"2016-0577-P";"8/31/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"1/3/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"7th District";"Night Watch";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";35382;"Black";"Female";33;3;"Female";"Black";46
"773";"Rank Initiated";"2016-0581-R";"8/31/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"PIB - Public Integrity Bureau";"Staff";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"";"";35430;"Black";"Female";47;22;"Male";"Black";58
"774";"Rank Initiated";"2016-0581-R";"8/31/2016 12:00:00 AM";"8/31/2016 12:00:00 AM";"";"DI-1";"Active";"Pending";"PIB - Public Integrity Bureau";"Staff";"Staff";"";"Unknown Working Status";"Unknown Shift Hours";"";"";35431;"White";"Female";44;22;"Male";"Black";58
"775";"Public Initiated";"2016-0580-P";"";"8/31/2016 12:00:00 AM";"4/12/2017 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"MSB - Management Service Bureau";"Administrative Duties Services";"Extended Sick";"Platoon A";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY";35472;"Black";"Female";NA;4;"";"";NA
